Id,Label,DisplayName,Gender,ProfileURL,ClusteringCoefficient,Triangles
nohate.bsky.social,nohate,Hope not hate,male,https://bsky.app/profile/nohate.bsky.social,0,0
pmurray65.bsky.social,pmurray65,Patricia Murray,female,https://bsky.app/profile/pmurray65.bsky.social,0,0
rummery.bsky.social,rummery,Gavin Rummery,male,https://bsky.app/profile/rummery.bsky.social,0,0
synergy28.bsky.social,synergy28,,female,https://bsky.app/profile/synergy28.bsky.social,0,0
amritsandhar.bsky.social,amritsandhar,Amrit Sandhar,male,https://bsky.app/profile/amritsandhar.bsky.social,0,0
maz-uk.bsky.social,maz-uk,,male,https://bsky.app/profile/maz-uk.bsky.social,0,0
adam-matthews-bham.bsky.social,adam-matthews-bham,Adam Matthews,male,https://bsky.app/profile/adam-matthews-bham.bsky.social,0,0
cartwrl.bsky.social,cartwrl,,male,https://bsky.app/profile/cartwrl.bsky.social,0,0
bartabouter.bsky.social,bartabouter,Bart A. Bouter,male,https://bsky.app/profile/bartabouter.bsky.social,0,0
sardoniceyebrow.bsky.social,sardoniceyebrow,,male,https://bsky.app/profile/sardoniceyebrow.bsky.social,0,0
newmsy.bsky.social,newmsy,Newman,male,https://bsky.app/profile/newmsy.bsky.social,0,0
southedres.bsky.social,southedres,,male,https://bsky.app/profile/southedres.bsky.social,0,0
